,Place,Address,Category,Rating,urls,lat,lng
13,Penny University,402 E Coast Rd,Cafe,4.1,"https://www.google.com/maps/place/Penny+University/@1.3088032,103.9032876,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da180ae6899275:0xfec79a33ffc6196b!8m2!3d1.3088163!4d103.9120304!15sCgEqWgMiASqSAQRjYWZl",1.3088163,103.9120304
14,Neptune,237 E Coast Rd,Cafe,4.0,"https://www.google.com/maps/place/Neptune/@1.3078182,103.8987704,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da19be3d6c0159:0x74264df119168ab6!8m2!3d1.3078547!4d103.9074797!15sCgEqWgMiASqSAQRjYWZl",1.3078547,103.9074797
15,Geylang Lor 29 Hokkien Mee,396 E Coast Rd,Singaporean,3.7,"https://www.google.com/maps/place/Geylang+Lor+29+Hokkien+Mee/@1.3087486,103.9029951,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da180ae11687d5:0xe007a66cdee94092!8m2!3d1.3087204!4d103.9117346!15sCgEqWgMiASqSARZzaW5nYXBvcmVhbl9yZXN0YXVyYW50",1.3087204,103.9117346
16,The Community Coffee,14 Scotts Road #02-94 Far East Plaza,Coffee store,4.7,"https://www.google.com/maps/place/The+Community+Coffee/@1.3068886,103.8244518,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da1992aea2a311:0x4d16cb3791e1d016!8m2!3d1.3068886!4d103.8331851!15sCgEqWgMiASqSAQxjb2ZmZWVfc3RvcmU",1.3068886,103.8331851
17,Southbridge,"80 Boat Quay, Level 5",Oyster Bar,4.3,"https://www.google.com/maps/place/Southbridge/@1.288397,103.8402667,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da190a12e845cb:0x53225213f4c2325e!8m2!3d1.288405!4d103.8490053!15sCgEqWgMiASqSARVveXN0ZXJfYmFyX3Jlc3RhdXJhbnQ",1.288405,103.8490053
18,Glyph Supply Co,"111 Somerset Rd, #01 - 06",Cafe,4.4,"https://www.google.com/maps/place/Glyph+Supply+Co/@1.3004298,103.8287719,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da1970c0b49b13:0x731eb0268cdc031a!8m2!3d1.3004298!4d103.8375052!15sCgEqWgMiASqSAQRjYWZl",1.3004298,103.8375052
19,Cafe Found,"391 Orchard Road, B1-16 to 24, Ngee Ann City",Coffee shop,3.4,"https://www.google.com/maps/place/Cafe+Found/@1.3026716,103.8256634,15z/data=!3m2!4b1!5s0x31da1991ed68ade1:0xf5e44993330bc308!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da199b5c2c0da5:0xa5427a1a51d8cb29!8m2!3d1.3026716!4d103.8343967!15sCgEqWgMiASqSAQtjb2ZmZWVfc2hvcA",1.3026716,103.8343967
20,Park90 (Singapore),1 Cuscaden Rd,Wine bar,4.8,"https://www.google.com/maps/place/Park90+(Singapore)/@1.3047791,103.8162514,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da19332151d8a7:0xbf6dd14fc914097b!8m2!3d1.3047791!4d103.8249847!15sCgEqWgMiASqSAQh3aW5lX2Jhcg",1.3047791,103.8249847
21,Hay Gelato,"136 Bedok North Ave 3, #01-148",Ice Cream,4.4,"https://www.google.com/maps/place/Hay+Gelato/@1.3281793,103.9264668,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da3d023056c96b:0x2cfcb3ef6dfe5820!8m2!3d1.3281793!4d103.9352001!15sCgEqWgMiASqSAQ5pY2VfY3JlYW1fc2hvcA",1.3281793,103.9352001
22,Percolate Coffee,"136 Bedok North Ave 3, #01-152",Cafe,4.5,"https://www.google.com/maps/place/Percolate+Coffee/@1.3282621,103.9265187,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da3d4af8c3a157:0xe3ac03d1ecd8178e!8m2!3d1.3282621!4d103.935252!15sCgEqWgMiASqSAQRjYWZl",1.3282621,103.935252
23,Stamping Ground Coffee,87 Upper E Coast Rd,Cafe,4.2,"https://www.google.com/maps/place/Stamping+Ground+Coffee/@1.3133396,103.9191122,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da190ce76489d3:0x1953e1b8491a317e!8m2!3d1.3132982!4d103.9278805!15sCgEqWgMiASqSAQRjYWZl",1.3132982,103.9278805
24,Five Oars Coffee Roasters,6 Upper E Coast Rd,Cafe,4.2,"https://www.google.com/maps/place/Five+Oars+Coffee+Roasters/@1.3123615,103.916791,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da199b21c55581:0xc86b9f4e5180d78f!8m2!3d1.3123615!4d103.9255243!15sCgEqWgMiASqSAQRjYWZl",1.3123615,103.9255243
25,Glasshouse,"30 Victoria St, #01-03 CHIJMES",Cafe,4.5,"https://www.google.com/maps/place/Glasshouse/@1.2955796,103.8435818,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da19a4418be899:0x9c4b2fe5f78e38f4!8m2!3d1.2955796!4d103.8523151!15sCgEqWgMiASqSAQRjYWZl",1.2955796,103.8523151
